# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
877824:[0,0,-2,-2,-2,-1]
762112:[0,-2,-2,-2,-2,-2]
558336:[1,0,-2,-2,-2,-1]
548553:[-2,-1,-2,-1,-2,-2]
212992:[1,1,-2,-2,-2,-1]
279561:[-1,-2,-2,-1,-2,-2]
57600:[2,1,-2,-2,-2,-1]
965097:[-1,-1,-2,-1,-2,-2]
397861:[-1,0,-2,-1,-2,-1]
965097:[0,0,-2,-1,-2,-2]
734949:[0,-2,-2,-1,-2,-1]
92937:[2,1,-2,-1,-2,-2]
185221:[0,-1,-2,-1,-2,-1]
110848:[-2,0,-2,0,-2,-2]
281637:[0,0,-2,-1,-2,-1]
995584:[-1,-1,-2,0,-2,-2]
517413:[1,0,-2,-1,-2,-1]
995584:[0,0,-2,0,-2,-2]
993733:[1,1,-2,-1,-2,-1]
925561:[-1,-1,-2,1,-2,-2]
325888:[-1,0,-2,0,-2,-1]
925561:[0,0,-2,1,-2,-2]
342784:[0,-1,-2,0,-2,-1]
499968:[-1,-1,-2,2,-2,-2]
193536:[0,0,-2,0,-2,-1]
499968:[0,0,-2,2,-2,-2]
919296:[0,1,-2,0,-2,-1]
123136:[1,1,-2,2,-2,-2]
295029:[0,0,-2,1,-2,-1]
584329:[-2,-2,-1,-2,-2,-2]
867861:[0,1,-2,1,-2,-1]
895113:[-1,-1,-1,-2,-2,-2]
709641:[0,-2,-1,-2,-2,-2]
149097:[-1,-1,-1,-2,-2,-1]
560713:[0,-1,-1,-2,-2,-2]
603289:[0,-1,-1,-2,-2,-1]
895113:[0,0,-1,-2,-2,-2]
307881:[0,0,-1,-2,-2,-1]
641097:[1,0,-1,-2,-2,-2]
419769:[0,1,-1,-2,-2,-1]
790153:[1,1,-1,-2,-2,-2]
816313:[1,-2,-1,-2,-2,-1]
699289:[-2,-1,-1,-1,-2,-2]
520137:[1,-1,-1,-2,-2,-1]
879577:[-1,-2,-1,-1,-2,-2]
319449:[1,0,-1,-2,-2,-1]
90169:[-1,-1,-1,-1,-2,-2]
106729:[1,1,-1,-2,-2,-1]
930969:[-1,0,-1,-1,-2,-2]
706329:[2,1,-1,-2,-2,-1]
3801:[0,-1,-1,-1,-2,-2]
306813:[-1,-1,-1,-1,-2,-1]
90169:[0,0,-1,-1,-2,-2]
641293:[-1,0,-1,-1,-2,-1]
880537:[0,1,-1,-1,-2,-2]
297037:[0,-1,-1,-1,-2,-1]
100825:[1,0,-1,-1,-2,-2]
23517:[0,0,-1,-1,-2,-1]
46137:[1,1,-1,-1,-2,-2]
470637:[0,1,-1,-1,-2,-1]
669952:[-1,-1,-2,-2,-2,0]
10269:[1,-1,-1,-1,-2,-1]
577792:[0,-1,-2,-2,-2,0]
18093:[1,0,-1,-1,-2,-1]
